id,name,parent_location,year,type,filings,filing_rate,threatened,threatened_rate,judgements,judgement_rate
1201125,"Alva CDP, Florida",Florida,2013,observed,,,,,,
1201125,"Alva CDP, Florida",Florida,2014,observed,4,2.14,4,2.14,3,1.6
1201125,"Alva CDP, Florida",Florida,2015,observed,3,1.6,3,1.6,3,1.6
1201125,"Alva CDP, Florida",Florida,2016,observed,1,0.77,1,0.77,1,0.77
1201125,"Alva CDP, Florida",Florida,2017,observed,,,,,,
1201125,"Alva CDP, Florida",Florida,2018,observed,2,1.54,2,1.54,2,1.54
1201353,"Andrews CDP, Florida",Florida,2000,observed,,,,,,
1201353,"Andrews CDP, Florida",Florida,2001,observed,,,,,,
1201353,"Andrews CDP, Florida",Florida,2002,observed,,,,,,
1201353,"Andrews CDP, Florida",Florida,2003,observed,,,,,,
1201353,"Andrews CDP, Florida",Florida,2004,observed,,,,,,
1201353,"Andrews CDP, Florida",Florida,2005,observed,,,,,,
1201353,"Andrews CDP, Florida",Florida,2006,observed,1,Inf,1,Inf,1,Inf
1201353,"Andrews CDP, Florida",Florida,2007,observed,,,,,,
1201353,"Andrews CDP, Florida",Florida,2008,observed,,,,,,
1201353,"Andrews CDP, Florida",Florida,2009,observed,,,,,,
1201353,"Andrews CDP, Florida",Florida,2010,observed,,,,,,
1201353,"Andrews CDP, Florida",Florida,2011,observed,1,1.32,1,1.32,1,1.32
1201353,"Andrews CDP, Florida",Florida,2012,observed,1,1.32,1,1.32,1,1.32
1201353,"Andrews CDP, Florida",Florida,2013,observed,,,,,,
1201353,"Andrews CDP, Florida",Florida,2014,observed,,,,,,
1201353,"Andrews CDP, Florida",Florida,2015,observed,1,1.32,1,1.32,1,1.32
1201353,"Andrews CDP, Florida",Florida,2016,observed,1,3.12,1,3.12,0,0
1201353,"Andrews CDP, Florida",Florida,2017,observed,,,,,,
1201353,"Andrews CDP, Florida",Florida,2018,observed,1,3.12,1,3.12,0,0
1201475,"Anna Maria city, Florida",Florida,2000,observed,1,0.53,1,0.53,0,0
1201475,"Anna Maria city, Florida",Florida,2001,observed,,,,,,
1201475,"Anna Maria city, Florida",Florida,2002,observed,1,0.53,1,0.53,0,0
1201475,"Anna Maria city, Florida",Florida,2003,observed,7,3.68,4,2.11,3,1.58
1201475,"Anna Maria city, Florida",Florida,2004,observed,,,,,,
1201475,"Anna Maria city, Florida",Florida,2005,observed,1,0.6,1,0.6,1,0.6
1201475,"Anna Maria city, Florida",Florida,2006,observed,2,1.2,2,1.2,2,1.2
1201475,"Anna Maria city, Florida",Florida,2007,observed,,,,,,
1201475,"Anna Maria city, Florida",Florida,2008,observed,2,1.2,2,1.2,1,0.6
1201475,"Anna Maria city, Florida",Florida,2009,observed,1,0.6,1,0.6,1,0.6
1201475,"Anna Maria city, Florida",Florida,2010,observed,,,,,,
1201475,"Anna Maria city, Florida",Florida,2011,observed,2,2.44,2,2.44,2,2.44
1201475,"Anna Maria city, Florida",Florida,2012,observed,,,,,,
1201475,"Anna Maria city, Florida",Florida,2013,observed,,,,,,
1201475,"Anna Maria city, Florida",Florida,2014,observed,2,2.44,2,2.44,2,2.44
1201475,"Anna Maria city, Florida",Florida,2015,observed,1,1.22,1,1.22,1,1.22
1201475,"Anna Maria city, Florida",Florida,2016,observed,,,,,,
1201475,"Anna Maria city, Florida",Florida,2017,observed,,,,,,
1201475,"Anna Maria city, Florida",Florida,2018,observed,,,,,,
