fips,cofips,tract,county,state,year,type,filings,filing_rate,threatened,threatened_rate,judgements,judgement_rate
12086019800,12086,Census Tract 198,Miami-Dade County,Florida,2012,observed,9.0,5.88,9.0,5.88,9.0,5.88
12086005201,12086,Census Tract 52.01,Miami-Dade County,Florida,2012,observed,74.0,4.0,72.0,3.89,71.0,3.83
12086002706,12086,Census Tract 27.06,Miami-Dade County,Florida,2012,observed,63.0,3.9,63.0,3.9,59.0,3.65
12086008209,12086,Census Tract 82.09,Miami-Dade County,Florida,2012,observed,2.0,3.33,2.0,3.33,2.0,3.33
12086000115,12086,Census Tract 1.15,Miami-Dade County,Florida,2012,observed,8.0,1.22,7.0,1.07,4.0,0.61
12086004203,12086,Census Tract 42.03,Miami-Dade County,Florida,2012,observed,115.0,5.87,94.0,4.8,84.0,4.29
12086017700,12086,Census Tract 177,Miami-Dade County,Florida,2012,observed,20.0,3.14,20.0,3.14,19.0,2.98
12086005801,12086,Census Tract 58.01,Miami-Dade County,Florida,2012,observed,22.0,2.39,22.0,2.39,21.0,2.29
12086008804,12086,Census Tract 88.04,Miami-Dade County,Florida,2012,observed,17.0,3.19,17.0,3.19,16.0,3.0
12086009313,12086,Census Tract 93.13,Miami-Dade County,Florida,2012,observed,8.0,0.96,8.0,0.96,7.0,0.84
12086000107,12086,Census Tract 1.07,Miami-Dade County,Florida,2012,observed,21.0,3.35,16.0,2.55,12.0,1.91
12086012400,12086,Census Tract 124,Miami-Dade County,Florida,2012,observed,7.0,3.27,7.0,3.27,6.0,2.8
12086003922,12086,Census Tract 39.22,Miami-Dade County,Florida,2012,observed,9.0,1.3,9.0,1.3,8.0,1.15
12086008806,12086,Census Tract 88.06,Miami-Dade County,Florida,2012,observed,8.0,1.92,8.0,1.92,8.0,1.92
12086000209,12086,Census Tract 2.09,Miami-Dade County,Florida,2012,observed,142.0,11.27,141.0,11.19,135.0,10.71
12086007200,12086,Census Tract 72,Miami-Dade County,Florida,2012,observed,50.0,7.6,46.0,6.99,38.0,5.78
12086005303,12086,Census Tract 53.03,Miami-Dade County,Florida,2012,observed,48.0,3.64,48.0,3.64,47.0,3.56
12086001801,12086,Census Tract 18.01,Miami-Dade County,Florida,2012,observed,24.0,2.81,24.0,2.81,21.0,2.46
12086016300,12086,Census Tract 163,Miami-Dade County,Florida,2012,observed,6.0,4.26,6.0,4.26,6.0,4.26
12086009100,12086,Census Tract 91,Miami-Dade County,Florida,2012,observed,28.0,2.49,28.0,2.49,27.0,2.4
12086000204,12086,Census Tract 2.04,Miami-Dade County,Florida,2012,observed,12.0,2.59,12.0,2.59,11.0,2.37
12086016000,12086,Census Tract 160,Miami-Dade County,Florida,2012,observed,5.0,1.48,5.0,1.48,5.0,1.48
12086002502,12086,Census Tract 25.02,Miami-Dade County,Florida,2012,observed,37.0,4.48,37.0,4.48,36.0,4.36
12086002201,12086,Census Tract 22.01,Miami-Dade County,Florida,2012,observed,42.0,5.04,39.0,4.68,34.0,4.08
12086000216,12086,Census Tract 2.16,Miami-Dade County,Florida,2012,observed,11.0,3.72,11.0,3.72,11.0,3.72
12086005202,12086,Census Tract 52.02,Miami-Dade County,Florida,2012,observed,67.0,4.29,67.0,4.29,64.0,4.1
12086008502,12086,Census Tract 85.02,Miami-Dade County,Florida,2012,observed,6.0,2.26,6.0,2.26,6.0,2.26
12086000505,12086,Census Tract 5.05,Miami-Dade County,Florida,2012,observed,30.0,3.48,30.0,3.48,26.0,3.02
12086010210,12086,Census Tract 102.10,Miami-Dade County,Florida,2012,observed,40.0,4.76,40.0,4.76,38.0,4.52
12086012500,12086,Census Tract 125,Miami-Dade County,Florida,2012,observed,7.0,2.14,7.0,2.14,6.0,1.83
12086009029,12086,Census Tract 90.29,Miami-Dade County,Florida,2012,observed,10.0,1.94,10.0,1.94,8.0,1.55
12086009704,12086,Census Tract 97.04,Miami-Dade County,Florida,2012,observed,10.0,3.04,10.0,3.04,10.0,3.04
